Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6364079,"Das Gesetz der Orks (Orks, #3)",Michael Peinkofer,"Peinkofer, Michael",,"=""3492750109""","=""9783492750103""",0,3.72,Piper Verlag GmbH,Paperback,608,2008,2008,,2023/09/22,,,read,,,,1,0
1667448,"Der Schwur der Orks (Orks, #2)",Michael Peinkofer,"Peinkofer, Michael",,"=""3492750095""","=""9783492750097""",0,3.69,Piper Verlag GmbH,Paperback,,2007,2007,,2023/09/22,,,read,,,,1,0
1667450,"Die Rückkehr der Orks (Orks, #1)",Michael Peinkofer,"Peinkofer, Michael",,"=""3492701175""","=""9783492701174""",0,3.66,Piper,Paperback,512,2006,2006,,2023/09/22,,,read,,,,1,0
3118823,"Der Zorn der Trolle (Die Trolle, #3)",Christoph Hardebusch,"Hardebusch, Christoph",,"=""3453524217""","=""9783453524217""",0,3.72,Heyne,Paperback,556,2008,2008,,2023/09/22,,,read,,,,1,0
3279093,"Die Schlacht der Trolle (Die Trolle, #2)",Christoph Hardebusch,"Hardebusch, Christoph",,"=""3453532708""","=""9783453532700""",0,3.69,Heyne Paperback,Paperback,724,2007,2007,,2023/09/22,,,read,,,,1,0
3279092,"Die Trolle (Die Trolle, #1)",Christoph Hardebusch,"Hardebusch, Christoph",,"=""3453532376""","=""9783453532373""",0,3.63,Heyne Paperback,Paperback,772,2006,2006,,2023/09/22,,,read,,,,1,0
6930080,"Inferno (Orcs: Bad Blood, #3)",Stan Nicholls,"Nicholls, Stan",,"=""0575078081""","=""9780575078086""",0,3.70,Gollancz,Paperback,288,2011,2011,,2023/09/22,,,read,,,,1,0
6661228,"Army of Shadows (Orcs Bad Blood, #2)",Stan Nicholls,"Nicholls, Stan",,"=""0316033685""","=""9780316033688""",0,3.73,Orbit,Paperback,292,2009,2009,,2023/09/22,,,read,,,,1,0
5898482,Orcs: Bad Blood,Stan Nicholls,"Nicholls, Stan",,"=""0316033693""","=""9780316033695""",0,3.66,Orbit,Paperback,332,2009,2008,,2023/09/22,,,read,,,,1,0
5609420,"Reality Game (Level 4, #10)",Andreas Schlüter,"Schlüter, Andreas",,"=""3401057405""","=""9783401057408""",0,3.79,Arena Verlag,Paperback,208,2004,2003,,2023/09/22,,,read,,,,1,0
6289217,"2049 (Level 4, #7)",Andreas Schlüter,"Schlüter, Andreas",,"=""3357008920""","=""9783357008929""",0,3.75,Altberliner Verlag,Hardcover,,2001,1999,,2023/09/22,,,read,,,,1,0
5677775,"Der Ring der Gedanken (Level 4, #2)",Andreas Schlüter,"Schlüter, Andreas",,"=""3423704756""","=""9783423704755""",0,3.64,dtv junior,Paperback,198,1998,1998,,2023/09/22,,,read,,,,1,0
6419341,"Level 4 – Die Stadt der Kinder (Level 4, #1)",Andreas Schlüter,"Schlüter, Andreas",,"=""3423704594""","=""9783423704595""",0,3.43,dtv juniour,Paperback,269,1998,1994,,2023/09/22,,,read,,,,1,0
10118251,BACK UP - ein Hacker-Thriller,Thomas Feibel,"Feibel, Thomas",,"=""3570301354""","=""9783570301357""",0,3.40,Bertelsmann Verlag,Paperback,0,2005,,,2023/09/22,,,read,,,,1,0
18118,"Der Goldene Kompass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip","Wolfram Ströle, Andrea Kann","=""3453137442""","=""9783453137448""",0,4.03,Heyne,Paperback,410,2004,1995,,2023/09/22,,,read,,,,1,0
7348288,"Magie (Die Gilde der Schwarzen Magier, #0.5)",Trudi Canavan,"Canavan, Trudi",Michaela Link,"=""3442375584""","=""9783442375585""",0,3.98,Blanvalet,Paperback,734,2010,2009,,2023/09/22,,,read,,,,1,0
479650,"The Fall (CHERUB, #7)",Robert Muchamore,"Muchamore, Robert",,"=""0340911700""","=""9780340911709""",0,4.21,Hodder Children's,Paperback,330,2007,2007,,2023/09/22,,,read,,,,1,0
828482,"Man vs. Beast (CHERUB, #6)",Robert Muchamore,"Muchamore, Robert",,"=""0340911697""","=""9780340911693""",0,4.15,Hodder Children's Books,Paperback,320,2006,2006,,2023/09/22,,,read,,,,1,0
655601,"Divine Madness (Cherub, #5)",Robert Muchamore,"Muchamore, Robert",,"=""1416927247""","=""9781416927242""",0,4.22,Simon Pulse,Paperback,360,2006,2006,,2023/09/22,,,read,,,,1,0
828483,"The Killing (CHERUB, #4)",Robert Muchamore,"Muchamore, Robert",,"=""0340894334""","=""9780340894330""",0,4.15,Hodder Children's Books,Paperback,306,2005,2005,,2023/09/22,,,read,,,,1,0
1303564,"Maximum Security (CHERUB, #3)",Robert Muchamore,"Muchamore, Robert",,"=""0340884355""","=""9780340884355""",0,4.26,Hodder Children's Books,Paperback,277,2006,2005,,2023/09/22,,,read,,,,1,0
1291211,"Class A (CHERUB, #2)",Robert Muchamore,"Muchamore, Robert",,"=""0340881542""","=""9780340881545""",0,4.28,Hodder Childrens,Paperback,291,2004,2004,,2023/09/22,,,read,,,,1,0
3221318,"Top Secret 1: Der Agent (Cherub, #1)",Robert Muchamore,"Muchamore, Robert",Tanja Ohlsen,"=""3570301842""","=""9783570301845""",0,4.23,cbt,Paperback,381,2005,2004,,2023/09/22,,,read,,,,1,0
10346981,"Schattentänzer (Die Chroniken von Siala, #3)",Alexey Pehov,"Pehov, Alexey",Christiane Pöhlmann,"=""3492701884""","=""9783492701884""",0,4.19,Piper Verlag,Paperback,560,2011,2003,,2023/09/22,,,read,,,,1,0
8697959,"Schattenstürmer (Die Chroniken von Siala, #2)",Alexey Pehov,"Pehov, Alexey","Aleksej Ju Pechov, Christiane Pöhlmann","=""3492701876""","=""9783492701877""",0,4.17,Piper,Paperback,443,2010,2002,,2023/09/22,,,read,,,,1,0
7713773,"Schattenwanderer (Die Chroniken von Siala, #1)",Alexey Pehov,"Pehov, Alexey","Алексей Пехов, Christiane Pöhlmann","=""3492701868""","=""9783492701860""",0,3.99,Piper,Paperback,558,2010,2002,,2023/09/22,,,read,,,,1,0
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",0,4.23,Broad Reach Publishing,Paperback,509,2012,2012,,2023/09/22,,,read,,,,1,0
29097200,Feuerfluch (Die fünf Tore 5: Das Finale - Teil 2),Anthony Horowitz,"Horowitz, Anthony",,"=""""","=""""",0,4.37,Loewe Verlag,Kindle Edition,448,2015,,,2023/09/22,,,read,,,,1,0
25889000,Höllenpforte (Die fünf Tore #4),Anthony Horowitz,"Horowitz, Anthony",Simone Wiemken,"=""3732003418""","=""9783732003419""",0,4.13,Loewe Verlag,Kindle Edition,380,2015,2008,,2023/09/22,,,read,,,,1,0
25832705,Schattenmacht (Die fünf Tore #3),Anthony Horowitz,"Horowitz, Anthony",,"=""3732003434""","=""9783732003433""",0,4.03,Loewe Verlag,Kindle Edition,359,2015,2007,,2023/09/22,,,read,,,,1,0
24075785,Teufelsstern (Die fünf Tore #2),Anthony Horowitz,"Horowitz, Anthony",,"=""3732003159""","=""9783732003150""",0,3.97,Loewe Verlag,Kindle Edition,314,2014,2006,,2023/09/22,,,read,,,,1,0
24854245,Todeskreis (Die fünf Tore),Anthony Horowitz,"Horowitz, Anthony",,"=""3785575882""","=""9783785575888""",0,3.90,Loewe,Paperback,302,2012,2005,,2023/09/22,,,read,,,,1,0
1660794,"Hurricane Gold (Young Bond, #4)",Charlie Higson,"Higson, Charlie",,"=""0141383917""","=""9780141383910""",0,4.15,Puffin Books,Hardcover,354,2007,2007,,2023/09/22,,,read,,,,1,0
360918,"Double or Die (Young Bond, #3)",Charlie Higson,"Higson, Charlie",,"=""0141322039""","=""9780141322032""",0,4.08,Puffin Books,Paperback,390,2007,2007,,2023/09/22,,,read,,,,1,0
603911,"SilverFin (Young Bond, #1)",Charlie Higson,"Higson, Charlie",,"=""078683661X""","=""9780786836611""",0,3.84,Miramax Books,Hardcover,352,2005,2005,,2023/09/22,,,read,,,,1,0
3275749,James Bond: Zurück kommt nur der Tod,Charlie Higson,"Higson, Charlie",,"=""3401058711""","=""9783401058719""",0,4.02,Arena,Paperback,352,2006,2006,,2023/09/22,,,read,,,,1,0
7165300,"The Black Prism (Lightbringer, #1)",Brent Weeks,"Weeks, Brent",,"=""0316075558""","=""9780316075558""",0,4.23,Orbit,Hardcover,629,2010,2010,,2023/09/22,,,read,,,,1,0
3754026,"Beyond the Shadows (Night Angel, #3)",Brent Weeks,"Weeks, Brent",,"=""0316033669""","=""9780316033664""",0,4.27,Orbit,Mass Market Paperback,689,2008,2008,,2023/09/22,,,read,,,,1,0
3754016,"Shadow's Edge (Night Angel, #2)",Brent Weeks,"Weeks, Brent",,"=""0316033650""","=""9780316033657""",0,4.25,Orbit,Mass Market Paperback,636,2008,2008,,2023/09/22,,,read,,,,1,0
3227063,"The Way of Shadows (Night Angel, #1)",Brent Weeks,"Weeks, Brent",,"=""0316033677""","=""9780316033671""",0,4.15,Orbit,Mass Market Paperback,645,2008,2008,,2023/09/22,,,read,,,,1,0
7815681,Schattenschwert,Jon Sprunk,"Sprunk, Jon",Ronald Gutberlet,"=""3453527216""","=""9783453527218""",0,3.57,Heyne Verlag,Paperback,400,2010,2010,,2023/09/22,,,read,,,,1,0
